2,,ok,Step 1 [authorize] OK: took 100 ms,authorize,OK
,,,"Step 2 [PropertyTransfer 1] OK: took 0 ms
 -> Performed transfer [access_token]",PropertyTransfer 1,OK
,,,Step 3 [Properties] OK: took 3 ms,Properties,OK
,,,Step 4 [DocType] OK: took 12 ms,DocType,OK
,,,Step 5 [Addprogramrollup] OK: took 4278 ms,Addprogramrollup,OK
,,,Step 6 [Updateprogramrollup] OK: took 45 ms,Updateprogramrollup,OK
,,,Step 7 [Createscheduledocuments] OK: took 7 ms,Createscheduledocuments,OK
,,,Step 8 [Updatescheduledocuments] OK: took 8 ms,Updatescheduledocuments,OK
,,,Step 9 [scheduledocumentsODI] OK: took 577 ms,scheduledocumentsODI,OK
,,,Step 10 [CampusActivitiesForStudent] OK: took 10 ms,CampusActivitiesForStudent,OK
,,,Step 11 [eligible] OK: took 9 ms,eligible,OK
,,,Step 12 [septoken] OK: took 7 ms,septoken,OK
,,,Step 13 [documents] OK: took 7 ms,documents,OK
,,,Step 14 [GetQuestionnarie] OK: took 179 ms,GetQuestionnarie,OK
,,,Step 15 [PutUpdatesignedDocs] OK: took 81 ms,PutUpdatesignedDocs,OK
3,,HTTP/1.1 403 You are not authorized to use this method,"Step 16 [activities] FAILED: took 22 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",activities,FAILED
,,,Step 17 [C2kfaactivities] OK: took 316 ms,C2kfaactivities,OK
4,,HTTP/1.1 403 You are not authorized to use this method,"Step 18 [StudentInfo] FAILED: took 37 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",StudentInfo,FAILED
,,,Step 19 [StudentStatusHistory] OK: took 275 ms,StudentStatusHistory,OK
5,, HTTP/1.1 400 Bad Request,"Step 20 [StudentAppointmentHistory] FAILED: took 256 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 400 Bad Request",StudentAppointmentHistory,FAILED
6,, HTTP/1.1 400 Bad Request,"Step 21 [StudentFileClose] FAILED: took 61 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 400 Bad Request",StudentFileClose,FAILED
7,, HTTP/1.1 400 Bad Request,"Step 22 [StudentEmailHistory] FAILED: took 88 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 400 Bad Request",StudentEmailHistory,FAILED
,,,Step 23 [StudentNotes] OK: took 540 ms,StudentNotes,OK
,,,Step 24 [StudentTaskHistory] OK: took 235 ms,StudentTaskHistory,OK
8,, HTTP/1.1 400 Bad Request,"Step 25 [StudentLeadAssignment] FAILED: took 43 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 400 Bad Request",StudentLeadAssignment,FAILED
9,, HTTP/1.1 400 Bad Request,"Step 26 [StudentAra] FAILED: took 3234 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 400 Bad Request",StudentAra,FAILED
,,,Step 27 [StudentCurrentClassGrade] OK: took 24466 ms,StudentCurrentClassGrade,OK
10,, HTTP/1.1 400 Bad Request,"Step 28 [StudentFinancialAid] FAILED: took 176 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 400 Bad Request",StudentFinancialAid,FAILED
11,, HTTP/1.1 400 Bad Request,"Step 29 [StudentCurrentClassGrade 1] FAILED: took 721 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 400 Bad Request",StudentCurrentClassGrade 1,FAILED
12,, HTTP/1.1 400 Bad Request,"Step 30 [StudentCurrentClassGradeECollege] FAILED: took 189 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 400 Bad Request",StudentCurrentClassGradeECollege,FAILED
,,,Step 31 [StudentPersonalAccount] OK: took 256 ms,StudentPersonalAccount,OK
,,,Step 32 [AddUpdateCVueStudent] OK: took 60 ms,AddUpdateCVueStudent,OK
,,,Step 33 [UpdateCampusViewAdvisor] OK: took 1449 ms,UpdateCampusViewAdvisor,OK
,,,Step 34 [UpdateInquiryInformationBatch] OK: took 653 ms,UpdateInquiryInformationBatch,OK
,,,Step 35 [UpdateInquiryInformation] OK: took 121 ms,UpdateInquiryInformation,OK
,,,Step 36 [AgencysponsorSync] OK: took 69 ms,AgencysponsorSync,OK
