"detail","icon","testCaseName","testStepName","testSuiteName"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","activities","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","StudentInfo","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","StudentAppointmentHistory","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","StudentFileClose","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","StudentEmailHistory","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","StudentLeadAssignment","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","StudentAra","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","StudentFinancialAid","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","StudentCurrentClassGrade 1","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","StudentCurrentClassGradeECollege","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","ReturnInstitution","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","ReturnListofInstitution","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","enrollGradesTrnsfr","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","StudentUnreadEmailsCount","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetDegreebyCampusAndProgramIds","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","StudentDegreePlanbyEnrollmentIds","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","BluePrintDegreePlanbyEnrollmentIds","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","StudentTitle4RegistrationRequirement","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","ProgramEnrollmentInfoGivenEnrollmentId","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","ProgramStuEnrollmentInfoGivenEnrollmentId","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","ElectivePoolCourseforElectivePoolIds","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","CreateCDL","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","CourseRegEligibility","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetFetchCDL","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","UnRegCourseSec","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","PostdirectcourseReg","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","PutReplaceDefElePoolCourse","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","PutAppendDPCourse","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetDegrees","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetDegreeAuditforStudents","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","PostDegAuditTrsfrCredit","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetLeadStatusHistory","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetLeadAppHistory","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetLeadFileCloseHistory","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetLeadEmailHistory","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetLeadnotes","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetLeadTaskHistory","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetLeadAssignments","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetCvueCoursegrpsbyCamid","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetCVueCoursegrpsbyCampusid","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetCVueCoursesbyCampusid","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetReserveUnameinKUPorta","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetGenUnameinKUPortal","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetChkreservedUnameinKUPorta","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetDocViewerv1","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetCVueProgVersionbyDegree","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetStuOutcomeReports","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","PostReserveUnameinKUPortal-ProvisionV1","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","PostGenUnameinKUPortal-ProvisionV1","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetChkReserveUnameinKUPortal-ProvisionV1","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","PostAuthV1","Suite_allWebAPIs"
"<Error Detail disabled>","teststeps.gif","Verify HTTP OK","GetReturnStuEnrollmentsV1","Suite_allWebAPIs"
